ACCIDENT_ID,LOCATE_ID_DISTRICT,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,ACCIDENT_VEHICLE
1892,100959,6,13,0,1,0,Highways Road,Waves / potholes,Crosswalk,Bright,Day,622594,1855597,16.78021579,100.1503339,Male,48,Injured,1071,1071,motorcycle
1960,100965,6,13,0,1,0,Rural Roads,Waves / potholes,Straight way,Bright,Day,675022,1826487,16.51384031,100.6399166,Female,32,Injured,1071,1071,motorcycle
2537,100949,4,14,40000,1,0,Highways Road,Dry,Straight way,Bright,Day,619234,1852759,16.75473952,100.1186605,Male,20,Injured,1071,1071,Truck
3492,100962,6,13,0,1,0,City road (municipality),Not specified,Straight way,Bright,Day,619422,1853424,16.76074023,100.1204593,Female,38,Injured,1071,1071,pick up
3660,100964,4,17,15000,1,0,Roads in Village,Not specified,Straight way,Bright,Day,619422,1853424,16.76074023,100.1204593,Female,14,Injured,1071,1071,Sedan/Taxi
4353,100952,4,5,0,0,0,Highways Road,Dry,Straight way,Bright,Day,673673,1834573,16.58700645,100.6278937,Female,52,Injured,1071,1071,Sedan/Taxi
5494,100422,4,17,1000,1,0,Highways Road,Not specified,Straight way,Not specified,Day,619422,1853424,16.76074023,100.1204593,Female,1,Injured,1071,1071,motorcycle
8525,100958,4,5,0,0,0,Highways Road,Dry,Straight way,Not specified,Day,677094,1829094,16.53724429,100.6595262,Male,14,Injured,1071,1071,motorcycle
27275,100948,3,14,100000,1,0,Roads in Village,Dry,Straight way,Not specified,Day,622464,1892452,17.1133094,100.1511395,Male,49,Injured,1071,1071,pick up
3241,100959,6,13,0,1,0,Highways Road,Waves / potholes,crossroad,Rain,Electric light at night,616174,1851769,16.74594546,100.0899043,Female,18,Injured,1071,1071,Sedan/Taxi
5728,100959,12,16,0,2,0,Roads in Village,Dry,crossroad,Rain,Electric light at night,629833,1856543,16.78837497,100.2183032,Female,23,Injured,1071,1071,motorcycle
9094,100963,12,14,50000,1,0,Roads in Village,Wet,crossroad,Rain,Electric light at night,695738,1892117,17.10519697,100.839662,Female,65,Injured,1071,1071,Sedan/Taxi
10824,100534,8,14,0,1,0,Highways Road,Wet,crossroad,Rain,Electric light at night,680385,1899510,17.17325512,100.6960194,Male,20,Injured,1071,1071,Sedan/Taxi
26359,100957,4,6,60000,0,0,Roads in Village,Dry,Curve,Rain,Electric light at night,680626,1816184,16.42032319,100.6916006,Male,22,Injured,1071,1071,Sedan/Taxi
3704,100960,6,13,0,1,0,Rural Roads,Dry,Straight way,Rain,Electric light at night,627944,1858865,16.80946469,100.2007123,Male,35,Died later,1071,1071,motorcycle
